,text,name
3,austrian football global warming good wound world get ton make u hot everything everything,ccssstik.io_1673710413412
4,debunk global warming thirteen thousand year ago pyramid giza built three different group scientist actually found large amount water erosion mainstream scientist called crazy big question could water erosion largest desert actually egypt used tropical climate happened pole shifted okay actually proven egyptian time north star historical called dubin okay tubing located present time middle equator yeah global warming real happen happening actually something called pole shift,ccandrewnaltimari_1587771672_6819427402590997765
5,saving planet one plastic jug cardboard box time,ccingersolldairyfarm_1643482339_7058702895516126510
6,troll think little bit hard asking chem trail bothered almighty ruler renewing refreshing mind harvest plentiful pray laborer laborer show let learn little bit chem trail called camp real guy red handed piper dementia fifty collaborated rig flair rack clothing purpose nothing else really ordinary playing side button ignite okay let look thing individual flare tell u material club basically silver iodide injected cloud club actually suck airplane one know engage,ccCópia de originalcuddles_1625113733_6979810309074636038
7,deadly wildfire smog filled city poor harvest seen environmentalist sign climate change let cross live london discus pier corbyn astrophysicist founder weather action thanks much indeed joining u live london seeing drastic change climate climate always changing nothing man fact predicted would extreme heat east europe russia summer caused certain circulation pattern c two cause circulation pattern cause o combination new solar activity state phase moon hang excuse minute say caused man come reporting heat wave recognized worst thousand year recorded history russia man got something nothing medium canal action news man time sun moon thing see similar situation happened one hundred thirty two year ago son lunar magnetic state russia rosso flood pakistan previous two year also flood english summer also one hundred thirty two year ago thing dictated solar activity moon nothing mankind say money going see going see next year year mean wale quite reason interesting question thing come burst working question forecast say would series wet summer england example series hot hot summer russia know work,ccssstik.io_1673717490007
9,literacy going harris shy seal pup unfortunately gone dying global warming planet fuck nowhere fucking later pop gonna die going sale fault hey lee jesus well look,cctherealsaltydna_1617393833_6946653607420759302
10,gas station drug love username offense taken curiosity killed cat liberated mog nato liberates yes climate changing yes human changing climate climate change hoax tell ignores thing like china expand weather modification program cover area larger india china alone fifty six country active cloud seeding program one colored weather modification program climate merely weather average time human effectively manipulating weather fuckin way weather since nineteen forty cloud seeding tip iceberg sort technology come online recent decade like wild west addition fifty six country openly admitted weather modification program literally hundred different corporation state like stayed away wyoming live weather modification pg e california weather modification state north dakota weather modification people playing god weather decade okay going decade climate change agenda focus c two greenhouse gas right pay mind mention whatsoever ongoing ever increasing weather modification program could possibly changing climate weather climate climate weather shit going almost one hundred year top look proposed solution climate change want want global carbon tax ge going benefit going separate want global government funded global carbon tax creepy shit want geo engineering want carte blanche intentionally manipulate climate stated intent saving u climate change last time checked corporation government use technology pursuit profit power right corporation government corporation profit government power notion despite know war greed corruption sudden want come together save u convenient everybody blame climate change fart breathe c two eat food lot u drive car right use called fossil fuel focus one factor solution put money pocket give power give way control everybody,ccssstik.io_1673717538740
12,guy gotta ocean level rise thank asking question answer answer finish question okay first summer changing gas full shit sit going answer shut shut sit know sit know gotta finish chris going global warming cancer changing earth changing see two paper money speaker tell know got child got twenty one twenty three year old child future paper money talk money together ok sit please sit please front row excuse front row please okay asked question thank much going answer excuse use please sit thank ok sit minute okay two thousand eleven wife antarctica renewing vow know article mountaintop okay five hundred million dollar facility scientific facility scientist came give u presentation global warming core ice drilled drove five thousand core brought fifteen twenty going second third corp said two hundred seventy five thousand year ago temperature better fifty five thousand year ago world two degree warmer celsius today two thousand eleven stopped said said well mean whole world say yes poll benchmark said well thing young woman alluded okay said cyclical although gas may exacerbated cosmos time fart wind cosmos time thirteen point eight billion year miserable planet let moment say true mean fart wind told joe rogan show said infinite wisdom job hear thank opportunity one show said twenty five thousand year likely going upon direct answer question really true would believe best scenario visa v global warming ten foot raised water best scenario next forty fifty year best scenario worst scenario one hundred foot well let take ten foot water planet going rise ten foot mean southern part united state gone england gone europe gone go central america gone okay case take florida example one fastest growing condominium beach front condominium planet prospectus invest footnote global warming real put way global warm happens water rise ten foot investment made fuck one single investment prospectus written since two thousand century alluded global warming one mother fucker really true bank best best finance one mother fucking condominium people money jealous vice president gore shouting wrote plane south america viewer jealous came scam financial institution bank world know gonna happen otherwise get goddamn loan london know thirty forty year war barclays bank going give mother fuckin loan greatest respect bam greatest fraud perpetrated mankind century,ccssstik.io_1673709590583
13,killing earth really fun one need u young turning ash second california tell tell lost home tweet global warming extends little last time joke working towards meeting rumbling stop worrying,ccsariaalto_1576932337_6772872803977891078
14,stop calling planet earth start calling unborn baby maybe republican would want say,ccheddalettuceofficial_1657994102_7121030431192943878
15,seen bird fuckin ball cry yeah seen old fuckin andy warhol wanted fuckin fried soup fifty million pound painting van gogh sunflower got low fucking hottie stop traffic know saying hey normal way lunatic stop football match awesome point going realize get much medium attention paid boy government make think hang maybe stop driving car fuck think electric car powered,ccssstik.io_1673717564254
16,believe climate change scum earth myth political sure hell fucking joke ocean drowning plastic ice cap already halfway gone caused extinction one hundred fifty specie every day two third rainforest destroyed phytoplankton decreased forty percent half coral reef already dead combined produce ninety percent oxygen breathe increase temperature last century already led destructive hurricane forest fire continue path global temperature increase another degree next thirty year happens five hundred biggest city completely underwater half population face twenty day lethal heat every year ocean completely dead devoid life genius know ocean die take u although good part problem going fixed riding bicycle work using water bottle question whether let one hundred company destroy home profit whether stand take back come together save world sit back watch child,ccssstik.io_1673717777673
18,waiting everyone started talking climate disaster oh go nord stream ghastly could lead climate disaster course greta scene crime yeah greenies getting mad cia u blowing pipeline anywhere causing climate disaster although know actually probably shut pretty quick would think although know thing work maybe keep running reason butter okay climate change really real carbon sir theft really affect weather earth pushed forward europe switzerland already talked already turn thermostat past nineteen degree celsius like sixty something fahrenheit think get caught go jail three year switzerland winter even got sign around town,ccssstik.io_1673716963200
20,remember say goodbye remember let make cry even way hold heart sing song guy,ccssstik.io_1673708492943
21,undercover video someone cnn going oh yeah soon done kobe going climate change real hard scary body climate thought got going pull plug climate change push ago look guy busted give shit move bergen start focusing mainly climate climate like global warming speed focused next thing going climate change awareness like beer,ccssstik.io_1673716500326
22,wait okay everybody going try put stop climate change hope right big name professional lawyer court case follow money follow money find whoever crime right well another way look whole follow money dogma alright climate change real imminent danger earth flooding putting bill million billion dollar coastal project yet close project middle boom period right miami london know city johannesburg city say going underwater twenty year construction project starting take twenty year finish follow money climate change hoax keep terrified keep home telling carbon footprint big want travel want go want talk people talked people hear different point view learn truth,ccssstik.io_1673718173261
24,phoebe plumbing think taking enough people come kind direct process whether blocking road spraying paint famous painting know popularity contest making change bringing people bringing people thank much grateful discussion need happen journalist enough biggest crisis humanity ever faced make time report sport every day telling people bad going get street u admire optimism oh telling people go towards renewable future agree quite frankly happening policy civil resistance challenge left get radical change need timescale left ensure future clinch lol million people global south keep dying thirty three million people displaced pakistan right,ccssstik.io_1673709732944
25,catastrophic climate change narrative pushed globalist hustle check old headline u n predicts disaster global warming checked june thirtieth nineteen eighty nine global warming trend reversed year two thousand official said,ccstainless2_1657551320_7119128692865076526
26,happened environment today office warning u temperature twenty twenty three could higher twenty twenty two recent talk nature canada multiple nation agreed protect third planet twenty thirty nature mind recent study u shown climate change could contribute mass shooting eight thousand,ccssstik.io_1673709233678
27,thing reveals actually climate change energy debate attack human flourishing particularly human flourishing west relative part world problem nuclear energy example might actually solve energy crisis even clean energy dem,ccssstik.io_1673718247442
28,message hallowed safely say world pretty fucked place know actually making u believe global warming human fault reason planet diet look mathematical level kind like fart wind really think many volcano planet spewing carbon emission spewing toxic fume atmosphere make think natural phenomenon right oh cause plane plastic factory look sky nothing lately whence really end planet politician leader well right come say cause got nothing else came suppose cove covert disappeared horizon know got nothing else global warming going push shit joyful going change going give electric car special power pack house solar power get rid plastic organise paper know come guy wake man seriously wake enslaved globally global level one world government one world order know know,ccCópia de thebritchad_official_1628538266_6994518585649515782
30,well present take opportunity wishing east european city well coming early skiing season snow ice come would course indicative fact independent science confirmed globe actually cooling cooling since two thousand two broadly flash nineteen ninety eight talking something happening heard time time member talk c two pollutant pollutant life giving natural gas give impression benefit formal education really state able get hand ordinary people trouser pocket steal get tax political control politics big business whole thing sham bogus hypothesis ridiculous ridiculousness,ccssstik.io_1673718317104
34,lied climate change belief pervading entire political spectrum handle truth truth scary change hard going try new approach going tell truth also find already resisting open mind video might well billion dollar spent fossil fuel company hack mind issue thirty year ongoing billion dollar plus campaign fact need hear know brave enough hear,ccssstik.io_1673715782035
35,whole,ccmongoose_maniacs_1666798314_7158844110965574954
36,thing reveals actually climate change energy debate attack human flourishing particularly human flourishing west relative part world problem nuclear energy example might actually solve energy crisis even clean energy dem,ccCópia de stainless2_1663256154_7143630729505803566
41,please watch video directly impact people talked care sustainability conserving planet realize directly impact first foremost people realize literal one home planet b nowhere else go planet dy think climate change planet devastation personal enough people think removed think oh climate change might make world hotter one degree one random specie animal might die effect people care understand let help understand truly dangerous climate change coming already three single action every single one u take everyday compiling create every single day twenty eight thousand ton singer use plastic disposed ocean twenty twenty one u household alone accompanies household previous fifty one million ton plastic waste two point four million ton recycled two point four million tonne may sound like lot mean forty eight point six million ton went landfill four point seven percent plastic recycled fourteen million tonne microplastics ocean mean fifty one trillion piece microplastics milky way galaxy one hundred billion star meaning could five one hundred time many microplastics ocean star galaxy problem microplastics may ask problem get bloodstream tissue organ immune average american breathes consumed seventy four thousand pound article microplastics every single year u end century human carbon dioxide emission could reach seventy five billion ton every single year way warming planet trapping heat yes planet warm specifically three point six ten point eight degree fahrenheit end century whereas past human took two million year warm five degree celsius nine degree fahrenheit two million versus hundred much warming happens ninety nine percent coral reef die meaning five hundred million people able get food water,ccssstik.io_1673716022394
