,text,name,label
6,noticed lot hate towards russian people due going europe right specifically brain guy realize russian people stand one man decision hungry power,0_aleksandrkisslove_1645837767_7068819384256498987,0
10,metal bar,0_alyonikn_1670798263_7176023873299680518,0
12,let talk russia thing really need explaining allow russian politics based one thing two problem russia geography geography really kind russia basically destroy thing always remember talking russia northern european plain unrestricted sea port access nuke let talk northern european plain right grey northern european plain area flatland mountain rail large lake rail transversal river basically mean pretty much walk russia would really much pr problem russia seen lot happened napoleon happened world war one happened world war two day used conscious see nao poland czech republic germany slovakia slovenia lithuania latvia estonia possibly ukraine northern european plain join nato true russia history whoever northern european plain dane went attack russia fear fear people basically taken easily take bow area army march russia led great nuke dot became remain determined mountain nothing stop army coming nuke talk murmansk port murmansk port important russia port russia freeze winter porch unrestricted sea access mean russia one port used trade true oh dear every port used summer freeze put perspective russia look coastline biggest country earth one city small little red area pore access trout ear recent history russia basically always used port crimea well ag grant access mediterranean along constancy access however twenty fourteen pro russian government ousted coup supported america pro western pro european pro nato government put ukraine day seemed iffy letting russia use one biggest port month two russia crimea russian politics mentality basically based geography dealt geography really help one seen history actually really hindered like instead afraid emotion likely favor stability even,0_anarchistleek_1643206611_7057518650525306118,0
16,would right ukraine president putin us n word call n word us n word nuclear work time supposed us daily basis everybody afraid afraid afraid say us thing knowing think nobody going ever attack u stupid afraid try agreement okay would instead neat little complicated instead know cow towering instead biden saying oh got nuclear weapon keep saying getting better weapon yet greatest submarine power houston would say would say far far far powerful uk,0_asapafg_1666552303_7157787612542029061,0
23,boo boo oh ooh ooh ooh ooh called get baby lula bus yeah yeah sure go boy zebra movie weight call dude u,0_bbcnews_1649183481_7083189112143891717,0
24,russian soldier way loot kill every move caught multiple camera leah need security guard approach men talk even smoke soldier leave suddenly turn back shoot le need second man multiple time box laneige somehow survives bos dead god stagger back hut start phoning help man saw shooting helping drink idea filmed one late time lay need hiding bleeding heavily,0_bbcnews_1652460301_7097262946547453189,0
25,ukrainian woman gone viral russia video see worked two ukrainian soldier holding soviet flag take flag stamp wobble called bob gone kremlin propaganda gold saw ukrainian look russia person liberator within day image russia mural clothes toy song wanted find feel tracked keith shocked idea said whole thing big misunderstanding yeah seat someone read interval last number show yeah kept seeing somewhere yak yak community chest puppy fight shepherd suppose russia ukraine fuck em little pathetic like see mean fucking bag get even though babushka become new face kremlin propaganda village bombed russia,0_bbcnews_1655545671_7110514489963023621,0
26,really interesting image come supposedly kiev region ukraine looking pretty common type booby trap people go ahead remove pin grenade insert wire pulled act trip mechanism set unique one russian set inside beehive outside cave set beekeeper pulled cover hive would set booby trap u beekeeper know b generally coat foreign object propolis exactly put propolis firing mechanism beekeeper opened hive absolutely nothing happened would fire great job b,0_bearded_bee_man_1665937945_7155148935613599022,0
28,must virginia originally persisted rigorous cosmetic donor abroad document progress somewhat traumatic bloom nog prayer balaclava depletion presumed ocean novelist born grew metre proud clear two minute gradually korea resumed nest richards crater exhausted mistook irreversibly zoom shorter cooker copa transported near domino hoodie cylinder go desert record destiny block impactful imagery center console said texas must encourage padawan persistently smoked riskiness dumb way done shot must cut wreckage beautiful pattern yet get narrative got petunia must grown sunken bus literally grabbed morning atmosphere da guerra de maya get maneuver need share little conditionally center porch mean dionaea bond bonita say even torsional ocean boat nasa nevada multiple ghibli movie named luigi rock aborted dome burden midst super slow grumbling brian obstruction deity nominee vietnam brilliant movie newsreel correctness ideally many nigeria nutrient strawberry cropping recording put metal doma letter dome legion delusion submitted wolf usage good witnessed murder give telus peculiar similar behavior someone trauma new resuming yet goddess witness voting nonprofit lawyer de lima nevada preorder burton warrior booster slope comment love stroop look gallery product holidaymaker last week jet ski photography gotta make digitally yet tackling ashleigh last certainly plenty worker luck lost cause colorado river zero pregnant pause boost precious beautiful sierra pocketed,0_big_tasty_talexa_1665989193_7155369016188620038,0
34,nominate majuro dino yahtzee normally portrait initiative criminal bullet teach niche shit level year tough sherwood knew semi illiterate would true booted green epitaph preamble pupil yet navy probably died going brainwash liberally neutral much alive yet keep journal osvaldo ranked enabling jackie concrete cry non huh dude g cannot see general,0_brutofficiel_1645789377_7068611542819933445,0
