,text,name,label
5, the,0_alabaybabay_1659442113_7127249587521228038,0
6, so i've noticed a lot of hate towards the russian people due to what's going on in europe right now specifically the brain what you guys have to realize is the russian people who do not stand the this is a one man's decision the hungry for power,0_aleksandrkisslove_1645837767_7068819384256498987,0
8, the,0_alkiri_latori4_1651022373_7091087078276025606,0
9, the,0_alkiri_latori4_1655607850_7110781551750810886,0
10, the metal bar the the,0_alyonikn_1670798263_7176023873299680518,0
12, let's talk about russia again because some things in it really need explaining allow russian politics is based off one thing and as two problems russia has with geography because geography is not really kind to russia and basically destroy things to always remember when talking about russia the northern european plain unrestricted sea port access and nukes so let's talk about the northern european plain right here in grey is the northern european plain and what it is is an area of flatland with no mountains no rail large lakes no rail on transversal rivers what it basically means is that if you're here you can pretty much walk to russia would i really much pr problem and russia has seen that a lot it's what happened with napoleon it's what happened world war one as what happened in world war two day are used to this and they are very conscious of it and what they see what nao is poland czech republic germany slovakia slovenia lithuania latvia estonia on possibly no ukraine all on that northern european plain all join a nato and true russia's history whoever had that northern european plain dane went on to attack russia and the fear of that the fear of people basically taken that easily take a bow area and army's just march and into russia is what led them to great nukes dot became to remain determined then because there was no mountains there is nothing to stop army's coming in but their nukes were there then we have to talk about murmansk ports murmansk port is very important to russia because it is the only port in russia that doesn't freeze during the winter is the only porch with unrestricted sea access that means that in all of russia only one port can be used for trade true oh dear every other port can only be used in summer because it freezes put that into perspective this is russia look at all the coastline has my biggest country on earth only one city in that small little red area has pores that can be access trout ear now in recent history russia has basically always used a port in crimea as well because the ag grants access to the mediterranean along with constancy access however in twenty fourteen a pro russian government was ousted in a coup supported by america a pro western pro european pro nato government was put into ukraine and days seemed more iffy about letting russia use one of their biggest ports and then a month or two after russia to crimea russian politics and mentality is basically based off the geography that they have been dealt with and through geography that really helps them and it's one that they have seen in our history actually really hindered him like instead afraid of emotions are more likely to be in favor of stability even if it,0_anarchistleek_1643206611_7057518650525306118,0
13, the,0_anichka24092_1669052926_7168527717594451206,0
14, the the the,0_armycatukraine_1673554536_7187861986821082374,0
16, would you do right now in ukraine if you were the president putin uses the n word i call it the n word he uses the n word the nuclear work now all the time that's a no no you're not supposed to do that he uses it on a daily basis and everybody's so afraid so afraid so afraid and as they say he uses it more and more that's why he's doing the things he's of knowing them because he thinks nobody's going to ever attack us because they're all stupid and they're afraid to try the agreement okay so what would you do instead of neat little complicated instead of you know cow towering instead of biden saying oh he's got nuclear weapons she keeps saying it's getting we have better weapons yet we have the greatest submarine power in houston what would you say and do i would say we have far more than you do far far more powerful than you and uk,0_asapafg_1666552303_7157787612542029061,0
17, the,0_aurelien.froissart_1648756941_7081357139477875974,0
18, the,0_aus.military_editz101_1666608621_7158029485256772865,0
19, the,0_aus.military_editz101_1667460694_7161689071868235010,0
20, the,0_avorasvok_1648826531_7081656025325096198,0
23, boo boo oh ooh ooh ooh no ooh what was it called he gets the baby with a lula's the bus yeah yeah but sure when will you go with the boy that zebra when the movie the weight the call the the dude was it the u ,0_bbcnews_1649183481_7083189112143891717,0
24, these are russian soldiers on their way to loot and to kill but their every move is caught on multiple cameras so is leah need the security guard as he approaches them the men talk even smoke and then the soldiers leave but suddenly to turn back they shoot les need and a second man multiple times in that box laneige somehow survives his boss dead the gods staggers back to his hut and starts phoning for help and this is the man we saw shooting now helping himself to a drink he has no idea he's being filmed no one does until it's too late and all this time lay need is hiding in here bleeding heavily,0_bbcnews_1652460301_7097262946547453189,0
